id,jobs
392,mashina
393,kiyim-kechak sotuvchi
394,uy tozalovchi
395,xayvon bokuvchi
396,uy kuruvchi
397,kiyim yuvuvchi
398,kostyum-shim tikuvchi
399,kuylak tikuvchi
400,bolalar kiyimlari
401,аndozachi
402,bichuvchi
403,master
404,paypok
405,tungi kiyimlar
406,ichki kiyimlar
407,bosh kiyimlar
408,shkaf
409,divan
410,sandik
411,аvto uchun
412,ofis mebelь
413,oshxona
414,panjaralar
415,nakkoshlar
416,stomatolog
417,terapevt
418,travmatolog
419,uzi
420,rentgenolog
421,jarrox
422,kardiolog
423,rahbar
